Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1372629804;	8;	20799.995016;	162.933294292;	0.7833333333333333;	4.0750972E7;	0.0;	0.06666666666666667;	1.0;	0.0;	1.0
1372630104;	8;	20799.995016;	169.866625964;	0.8166666666666668;	4.0750972E7;	0.0;	0.0;	0.6;	0.0;	1.0
1372630404;	8;	20799.995016;	168.133293046;	0.8083333333333332;	4.0750972E7;	195733.06666666668;	0.0;	0.7333333333333333;	0.0;	1.0
1372630704;	8;	20799.995016;	159.46662845600002;	0.7666666666666667;	4.0750972E7;	419428.0;	0.0;	0.7333333333333333;	0.0;	1.0
1372631004;	8;	20799.995016;	169.866625964;	0.8166666666666668;	4.0750972E7;	83885.6;	0.0;	0.8666666666666667;	0.0;	1.0
1372631304;	8;	20799.995016;	164.66662721;	0.7916666666666667;	4.0750972E7;	83885.6;	0.0;	0.7333333333333333;	0.0;	1.0
1372631604;	8;	20799.995016;	162.933294292;	0.7833333333333333;	4.0750972E7;	83885.6;	0.0;	0.9333333333333333;	0.0;	1.0
1372631904;	8;	20799.995016;	173.3332918;	0.8333333333333333;	4.0750972E7;	167772.0;	0.0;	0.7333333333333333;	0.0;	1.0
1372632204;	8;	20799.995016;	168.133293046;	0.8083333333333332;	4.0750972E7;	0.0;	0.0;	1.5333333333333334;	0.0;	1.0
1372632504;	8;	20799.995016;	166.39996012800003;	0.8;	4.0750972E7;	0.0;	0.0;	0.9333333333333333;	0.0;	1.0
1372632804;	8;	20799.995016;	171.59995888199998;	0.825;	4.0750972E7;	0.0;	0.0;	0.6;	0.0;	1.0
1372633104;	8;	20799.995016;	168.133293046;	0.8083333333333332;	4.0750972E7;	0.0;	0.0;	1.6666666666666667;	0.06666666666666667;	1.4666666666666666
1372633404;	8;	20799.995016;	168.133293046;	0.8083333333333332;	4.0750972E7;	0.0;	0.0;	1.4;	0.0;	1.0
1372633704;	8;	20799.995016;	169.866625964;	0.8166666666666668;	4.0750972E7;	0.0;	0.06666666666666667;	8.066666666666666;	0.2;	1.1333333333333333
1372634004;	8;	20799.995016;	162.933294292;	0.7833333333333333;	4.0750972E7;	0.0;	0.0;	0.9333333333333333;	0.0;	1.0
1372634304;	8;	20799.995016;	164.66662721;	0.7916666666666667;	4.0750972E7;	0.0;	0.0;	0.6666666666666666;	0.0;	1.0
1372634604;	8;	20799.995016;	171.59995888199998;	0.825;	4.0750972E7;	0.0;	0.0;	0.6666666666666666;	0.0;	1.0
1372634903;	8;	20799.995016;	162.933294292;	0.7833333333333333;	4.0750972E7;	0.0;	0.0;	0.7333333333333333;	0.0;	1.0
1372635203;	8;	20799.995016;	168.133293046;	0.8083333333333332;	4.0750972E7;	0.0;	0.0;	1.0666666666666667;	0.0;	1.0
1372635503;	8;	20799.995016;	169.866625964;	0.8166666666666668;	4.0750972E7;	111847.46666666666;	0.0;	0.6;	0.0;	1.0
1372635803;	8;	20799.995016;	161.19996137400003;	0.775;	4.0750972E7;	83885.6;	0.0;	0.5333333333333333;	0.0;	1.0
1372636103;	8;	20799.995016;	164.66662721;	0.7916666666666667;	4.0750972E7;	0.0;	0.0;	10.8;	0.0;	1.0
1372636403;	8;	20799.995016;	166.39996012800003;	0.8;	4.0750972E7;	0.0;	0.0;	0.9333333333333333;	0.0;	1.0
1372636703;	8;	20799.995016;	161.19996137400003;	0.775;	4.0750972E7;	0.0;	0.0;	1.9333333333333333;	0.06666666666666667;	1.4666666666666666
1372637004;	8;	20799.995016;	169.866625964;	0.8166666666666668;	4.0750972E7;	83885.6;	0.0;	1.4666666666666666;	0.0;	1.0
1372637304;	8;	20799.995016;	166.39996012800003;	0.8;	4.0750972E7;	83885.6;	0.0;	0.6666666666666666;	0.0;	1.0
1372637604;	8;	20799.995016;	161.19996137400003;	0.775;	4.0750972E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
1372637904;	8;	20799.995016;	162.933294292;	0.7833333333333333;	4.0750972E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
1372638204;	8;	20799.995016;	169.866625964;	0.8166666666666668;	4.0750972E7;	0.0;	0.0;	1.0;	0.0;	1.0
1372638504;	8;	20799.995016;	159.46662845600002;	0.7666666666666667;	4.0750972E7;	0.0;	0.0;	0.6;	0.0;	1.0
1372638804;	8;	20799.995016;	168.133293046;	0.8083333333333332;	4.0750972E7;	0.0;	0.0;	1.2666666666666666;	0.0;	1.0
1372639104;	8;	20799.995016;	169.866625964;	0.8166666666666668;	4.0750972E7;	0.0;	0.0;	0.8;	0.0;	1.0
1372639404;	8;	20799.995016;	164.66662721;	0.7916666666666667;	4.0750972E7;	0.0;	0.0;	0.9333333333333333;	0.0;	1.0
1372639704;	8;	20799.995016;	168.133293046;	0.8083333333333332;	4.0750972E7;	0.0;	0.0;	0.7333333333333333;	0.0;	1.0
1372640004;	8;	20799.995016;	164.66662721;	0.7916666666666667;	4.0750972E7;	0.0;	0.0;	0.6;	0.0;	1.0
1372640304;	8;	20799.995016;	159.46662845600002;	0.7666666666666667;	4.0750972E7;	0.0;	0.0;	1.8;	0.06666666666666667;	1.4666666666666666
1372640604;	8;	20799.995016;	173.3332918;	0.8333333333333333;	4.0750972E7;	0.0;	0.06666666666666667;	8.333333333333334;	0.2;	1.1333333333333333
1372640904;	8;	20799.995016;	162.933294292;	0.7833333333333333;	4.0750972E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
